model,unit_f1,codatype_f1,individ_f1,unit_acc,individ_acc
ICI_LogReg_1A,0.5986339423908018,0.9309970977873129,0.43123528819405116,0.6209386281588448,0.48366013071895425
Mel_LogReg_1C,0.7395801331285202,0.09719971648999054,0.2497946180235984,0.7328519855595668,0.2679738562091503
WhAM_L10_1B,0.876270956843246,0.2120490450763809,0.4240104087646275,0.8808664259927798,0.45098039215686275
